Date,Open,High,Low,Close,Volume
2012-03-05,5362.23,5362.23,5289.65,5304.29,0
2012-03-02,5387.05,5421.63,5345.42,5380.31,0
2012-03-01,5393.03,5393.03,5327.46,5365.74,0
2012-02-29,5452.01,5480.08,5374.06,5406.46,0
2012-02-28,5332.25,5404.89,5314.69,5394.23,0
2012-02-27,5441.53,5441.53,5270.08,5282.57,0
2012-02-24,5495.72,5532.04,5411.1,5434.57,0
2012-02-23,5502.87,5539.41,5455.53,5489.51,0
2012-02-22,5646.2,5658.18,5494.19,5509.12,0
2012-02-21,5595.42,5643.9,5595.42,5631.23,0
2012-02-17,5593.86,5640.43,5572.3,5592.32,0
2012-02-16,5541.05,5558.84,5512.78,5549.41,0
2012-02-15,5469.79,5559.05,5469.79,5550.62,0
2012-02-14,5405.99,5440.44,5401.39,5432.55,0
2012-02-13,5399.56,5429.16,5370.35,5407.36,0
2012-02-10,5419.38,5449.49,5361.7,5396.5,0
2012-02-09,5363.45,5431.4,5357.44,5421.18,0
2012-02-08,5346.87,5404.8,5336.18,5377.03,0
2012-02-07,5401.85,5408.62,5329.25,5342.19,0
2012-02-06,5362.85,5405.42,5341.03,5375.26,0
2012-02-03,5281.58,5335.63,5265.91,5327.5,0
2012-02-02,5276.49,5302.29,5234.32,5277.35,0
2012-02-01,5198.68,5249.14,5171.82,5242.73,0
2012-01-31,5120.04,5215.0,5120.04,5202.64,0
2012-01-30,5186.78,5186.78,5084.49,5095.39,0
2012-01-27,5191.95,5215.04,5172.67,5209.63,0
2012-01-25,5146.39,5176.03,5137.81,5163.97,0
2012-01-24,5059.42,5141.85,5051.04,5127.78,0
2012-01-23,5030.09,5065.34,5028.42,5046.09,0
2012-01-20,5036.58,5058.27,5004.28,5044.91,0
2012-01-19,4975.29,5015.88,4975.29,5012.07,0
2012-01-18,4968.68,4977.08,4926.31,4943.79,0
2012-01-17,4893.22,4970.64,4893.22,4959.81,0
2012-01-16,4845.38,4877.34,4825.02,4872.24,0
2012-01-13,4851.7,4893.6,4834.78,4862.93,0
2012-01-12,4831.21,4863.04,4800.75,4826.36,0
2012-01-11,4839.61,4859.2,4822.04,4844.2,0
2012-01-10,4738.56,4831.16,4738.56,4826.24,0
2012-01-09,4719.03,4733.21,4674.37,4718.65,0
2012-01-06,4704.29,4757.89,4662.41,4722.12,0
2012-01-05,4725.59,4751.9,4704.98,4721.46,0
2012-01-04,4741.53,4755.03,4705.36,4723.06,0
2012-01-03,4636.47,4742.62,4636.47,4734.7,0
2012-01-02,4616.42,4620.53,4560.66,4606.8,0
2011-12-30,4630.42,4660.16,4580.94,4598.2,0
2011-12-29,4651.26,4665.64,4613.64,4620.03,0
2011-12-28,4708.49,4713.27,4650.44,4668.61,0
2011-12-27,4747.07,4767.1,4691.33,4712.97,0
2011-12-26,4696.38,4751.06,4693.6,4742.95,0
2011-12-23,4720.26,4737.92,4665.27,4684.83,0
2011-12-22,4630.72,4712.32,4608.78,4707.14,0
2011-12-21,4603.02,4676.93,4576.58,4662.81,0
2011-12-20,4614.91,4621.15,4516.41,4527.02,0
2011-12-19,4633.15,4633.15,4550.17,4600.75,0
2011-12-16,4752.87,4808.87,4629.29,4646.43,0
2011-12-15,4720.9,4761.9,4674.76,4743.53,0
2011-12-14,4788.64,4831.52,4746.18,4755.3,0
2011-12-13,4743.57,4818.6,4732.42,4796.63,0
2011-12-12,4902.01,4906.33,4756.59,4765.97,0
2011-12-09,4888.59,4918.72,4848.43,4868.49,0
2011-12-08,5040.97,5045.64,4924.63,4942.18,0
2011-12-07,5043.61,5093.14,5034.5,5053.3,0
2011-12-05,5035.44,5052.17,5004.78,5037.05,0
2011-12-02,4929.84,5053.41,4914.08,5043.68,0
2011-12-01,4938.91,5000.75,4909.78,4928.29,0
2011-11-30,4779.96,4848.85,4768.44,4831.73,0
2011-11-29,4877.52,4878.49,4800.19,4812.73,0
2011-11-28,4778.25,4869.32,4778.25,4865.42,0
2011-11-25,4747.61,4785.47,4715.91,4731.07,0
2011-11-24,4715.68,4776.35,4651.2,4765.86,0
2011-11-23,4794.27,4794.27,4658.92,4712.04,0
2011-11-22,4799.9,4857.2,4789.68,4816.4,0
2011-11-21,4892.93,4892.93,4776.64,4788.16,0
2011-11-18,4919.35,4919.35,4847.86,4910.54,0
2011-11-17,5030.37,5042.36,4925.88,4938.26,0
2011-11-16,5069.61,5069.61,4993.25,5036.07,0
2011-11-15,5149.38,5170.12,5061.91,5071.96,0
2011-11-14,5224.91,5243.71,5153.23,5158.74,0
2011-11-11,5201.58,5222.36,5165.58,5187.33,0
2011-11-09,5327.69,5334.04,5232.18,5240.16,0
2011-11-08,5316.78,5331.52,5279.3,5309.25,0
